Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
KIA CERATO 1.6 ESSENCE BOITE AUTO,45000 DT,Kia,Cerato 1.6 Essence Boite Auto,43000,7.2013,Essence,Automatique,,,,,,,Tunis,Blanc,Marron,,,5,,,23.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140923135917
VOLKSWAGEN CADDY,23000 DT,Volkswagen,Caddy,196000,6.2011,Diesel,Manuelle,,,,,,,Nabeul,Gris,Rose,,,2,,,23.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140923074528
VOLKSWAGEN PASSAT,34500 DT,Volkswagen,Passat,108000,8.2010,Essence,Manuelle,,,,,,,Nabeul,Noir,Beige,,,4,,,22.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140922160222
RENAULT CLIO,8500 DT,Renault,Clio,760540,6.2003,,Manuelle,,,,,,,Ben Arous,Noir,,,,4,,,21.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140921175449
PEUGEOT BOXER,12000 DT,Peugeot,Boxer,,1.1970,Diesel,Manuelle,,,,,,,Tunis,Blanc,Blanc,,,3,,,20.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140920234428
VOLKSWAGEN POLO,9500 DT,Volkswagen,Polo,310000,8.1998,Essence,Manuelle,,,,,,,Beja,Blanc,Gris,,,4,,,20.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140920210211
RENAULT CLIO CLASSIC,0018 DT,Renault,Clio Classic,97000,5.2006,Essence,Manuelle,,,,,,,Tunis,Gris,Bleu,,,5,,,20.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140920151816
VOLKSWAGEN GOLF,18000 DT,Volkswagen,Golf,,6.2000,Essence,Manuelle,,,,,,,Tunis,Noir,Noir,,,4,,,20.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140920125628
BMW SÉRIE 5 SERIE 5 PACK SPORT KIT M,103000 DT,Bmw,Série 5 Serie 5 Pack Sport Kit M,68000,7.2011,Diesel,Automatique,,,,,,,Tunis,Noir,Marron,,,5,,"Bluetooth, Caméra de recul, Toit ouvrant",19.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140919082053
PEUGEOT PARTNER,15500000 DT,Peugeot,Partner,119000,2.2007,Diesel,Manuelle,,,,,,,Tunis,Blanc,Gris,,,2,,,18.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140918225407
